,currentDate,symbol,inceptionDate,longName,industryKey,sectorKey,marketCap,averageVolume,totalRevenue,totalDebt,totalCash,ebitda,currentPrice,recommendationKey
0,2024-09-03,RATNAMANI.NS,2006-05-09,Ratnamani Metals & Tubes Limited,steel,basic-materials,260549492736,54143,50678644736,,,,3717.25,none
1,2024-09-03,ABFRL.NS,2013-07-17,Aditya Birla Fashion and Retail Limited,apparel-manufacturing,consumer-cyclical,323116302336,5749845,142276198400,,,,319.8,underperform
2,2024-09-03,APLLTD.NS,2011-09-20,Alembic Pharmaceuticals Limited,drug-manufacturers-specialty-generic,healthcare,210531713024,412933,63042101248,,,,1069.9,hold
3,2024-09-03,PFIZER.NS,2002-07-01,Pfizer Limited,drug-manufacturers-general,healthcare,289047674880,50303,22246699008,,,,6318.3,buy
4,2024-09-03,RAMCOCEM.NS,2002-07-01,The Ramco Cements Limited,building-materials,basic-materials,196547690496,1328448,92232400896,,,,831.8,hold
5,2024-09-03,SIGNATURE.NS,2023-09-27,Signatureglobal (India) Limited,real-estate-development,real-estate,210190417920,625753,14753089536,,,,1495.9,none
6,2024-09-03,PEL.NS,1996-01-02,Piramal Enterprises Limited,financial-conglomerates,financial-services,237293699072,1860714,48159100928,,,,1057.6,buy
7,2024-09-03,ELGIEQUIP.NS,2002-07-01,Elgi Equipments Limited,specialty-industrial-machinery,industrials,222244339712,494611,32949489664,,,,702.8,buy
8,2024-09-03,LALPATHLAB.NS,2015-12-23,Dr. Lal PathLabs Limited,diagnostics-research,healthcare,282401112064,280285,22875410432,,,,3389.25,buy
9,2024-09-03,EMAMILTD.NS,2006-08-03,Emami Limited,household-personal-products,consumer-defensive,354110701568,1320700,36585000960,,,,811.2,none
10,2024-09-03,SANOFI.NS,2002-07-01,Sanofi India Limited,drug-manufacturers-general,healthcare,156867592192,25385,27893000192,,,,6811.15,buy
11,2024-09-03,JYOTICNC.NS,2024-01-16,Jyoti CNC Automation Limited,specialty-industrial-machinery,industrials,273965137920,476210,14921749504,,,,1204.65,none
12,2024-09-03,TRIDENT.NS,2002-07-01,Trident Limited,textile-manufacturing,consumer-cyclical,185485787136,14051649,70578298880,,,,36.86,strong_buy
13,2024-09-03,CASTROLIND.NS,2002-08-12,Castrol India Limited,oil-gas-refining-marketing,energy,259891806208,11238896,51697401856,,,,262.75,none
14,2024-09-03,KAJARIACER.NS,2002-07-01,Kajaria Ceramics Limited,building-products-equipment,industrials,216897437696,256866,46278799360,,,,1358.3,none
15,2024-09-03,KAYNES.NS,2022-11-22,Kaynes Technology India Limited,specialty-industrial-machinery,industrials,298459955200,314451,20114200576,,,,4662.65,buy
16,2024-09-03,CENTURYTEX.NS,1996-01-01,Century Textiles and Industries Limited,paper-paper-products,basic-materials,256404471808,451476,47752601600,,,,2321.6,none
17,2024-09-03,CHALET.NS,2019-02-07,Chalet Hotels Limited,lodging,consumer-cyclical,186738343936,168246,14685479936,,,,855.75,buy
18,2024-09-03,DEVYANI.NS,2021-08-16,Devyani International Limited,restaurants,consumer-cyclical,212165558272,3101494,39315841024,,,,175.89,buy
19,2024-09-03,CDSL.NS,2017-06-30,Central Depository Services (India) Limited,capital-markets,financial-services,296027619328,4422168,10144763904,,,,1416.4,hold
20,2024-09-03,KEC.NS,2002-08-12,KEC International Limited,engineering-construction,industrials,238554267648,1275597,201824698368,,,,926.0,hold
21,2024-09-03,SCHNEIDER.NS,2012-03-20,Schneider Electric Infrastructure Limited,electrical-equipment-parts,industrials,195419701248,323913,23043399680,,,,817.3,strong_buy
22,2024-09-03,IDFC.NS,2005-08-12,IDFC Limited,asset-management,financial-services,182285729792,5580340,506200000,,,,113.93,hold
23,2024-09-03,BATAINDIA.NS,2002-07-01,Bata India Limited,footwear-accessories,consumer-cyclical,187753709568,491879,34650951680,,,,1460.8,none
24,2024-09-03,CIEINDIA.NS,2007-08-30,CIE Automotive India Limited,auto-parts,consumer-cyclical,223216599040,377101,92392964096,,,,588.4,none
25,2024-09-03,KPIL.NS,2023-05-30,Kalpataru Projects International Limited,engineering-construction,industrials,225087062016,558559,199724302336,,,,1385.1,buy
26,2024-09-03,RRKABEL.NS,2023-09-15,R R Kabel Limited,electrical-equipment-parts,industrials,183231479808,145723,68053663744,,,,1620.7,strong_buy
27,2024-09-03,SUMICHEM.NS,2020-01-27,Sumitomo Chemical India Limited,agricultural-inputs,basic-materials,256237305856,876129,29585909760,,,,512.45,none
28,2024-09-03,NATCOPHARM.NS,1996-01-01,NATCO Pharma Limited,drug-manufacturers-specialty-generic,healthcare,275390595072,1176355,43490000896,,,,1537.55,hold
29,2024-09-03,SUVENPHAR.NS,2020-03-09,Suven Pharmaceuticals Limited,drug-manufacturers-specialty-generic,healthcare,277003894784,587766,9344936960,,,,1082.0,none
